A4GALT	NM_017436
GTF2IRD2B	NM_001003795
GTF3C1	NM_001520
GTF3C3	NM_012086
GTF3C4	NM_012204
GTF3C5	NM_012087
GTF3C6	NM_138408
GTPBP1	NM_004286
GTPBP10	NM_033107
GTPBP2	NM_019096
GTPBP3	NM_032620
GTPBP4	NM_012341
GTPBP8	NM_014170
GTSE1	NM_016426
GTSF1	NM_144594
GTSF1L	NM_176791
GUCA1B	NM_002098
GUCA1C	NM_005459
GUCA2A	NM_033553
GUCA2B	NM_007102
GUCY1A1	NM_001130682
GUCY1A2	NM_000855
GUCY1B1	NM_000857
GUCY2C	NM_004963
GUCY2D	NM_000180
GUCY2F	NM_001522
GUF1	NM_021927
GULP1	NM_016315
GUSB	NM_000181
GXYLT1	NM_173601
GXYLT2	NM_001080393
GYG1	NM_004130
GYG2	NM_001079855
GYPE	NM_198682
GYS1	NM_002103
GZF1	NM_022482
GZMA	NM_006144
GZMB	NM_004131
GZMH	NM_033423
GZMK	NM_002104
GZMM	NM_005317
H1-1	NM_005325
H1-10	NM_006026
H1-2	NM_005319
H1-3	NM_005320
H1-4	NM_005321
H1-5	NM_005322
H1-6	NM_005323
H2AB1	NM_001017990
H2AB2	NM_001017991
H2AB3	NM_080720
H2AC1	NM_170745
H2AC12	NM_080596
H2AC14	NM_021066
H2AC15	NM_003510
H2AC16	NM_003511
H2AC17	NM_003514
H2AC20	NM_003517
H2AC21	NM_175065
H2AC4	NM_003513
H2AC7	NM_021065
H2AP	NM_012274
H2AZ1	NM_002106
H2AZ2	NM_012412
H2BC1	NM_170610
H2BC10	NM_003525
H2BC11	NM_021058
H2BC12	NM_001312653
H2BC14	NM_003521
H2BC17	NM_003527
H2BC3	NM_021062
H2BC6	NM_003523
H2BS1	NM_017445
H3-3B	NM_005324
H3-4	NM_003493
H3-5	NM_001013699
H3C1	NM_003529
H3C11	NM_003533
H3C12	NM_003535
H3C13	NM_001123375
H3C2	NM_003537
H3C3	NM_003531
H3C4	NM_001376937
H3C7	NM_021018
H3Y1	NM_001355258
H3Y2	NM_001371919
H4C1	NM_003538
H4C11	NM_021968
H4C12	NM_003541
H4C13	NM_003546
H4C3	NM_003542
H4C4	NM_003539
H4C6	NM_003540
H4C7	NM_003547
H6PD	NM_004285
HAAO	NM_012205
HABP2	NM_004132
HABP4	NM_014282
HACD1	NM_014241
HACD2	NM_198402
HACD3	NM_016395
HACD4	NM_001010915
HACE1	NM_020771
HACL1	NM_012260
HADH	NM_005327
HADHB	NM_000183
HAGH	NM_005326
HAL	NM_002108
HAND1	NM_004821
HAND2	NM_021973
HAO1	NM_017545
HAO2	NM_016527
HAP1	NM_177977
HAPLN1	NM_001884
HAPLN2	NM_021817
HAPLN3	NM_178232
HAPLN4	NM_023002
HARBI1	NM_173811
HAS1	NM_001297436
HAS2	NM_005328
HAS3	NM_001199280
HASPIN	NM_031965
HAT1	NM_003642
HAUS1	NM_138443
HAUS2	NM_018097
HAUS5	NM_015302
HAUS6	NM_017645
HAUS8	NM_033417
HAVCR1	NM_001173393
HAVCR2	NM_032782
HBE1	NM_005330
HBEGF	NM_001945
HBG1	NM_000559
HBG2	NM_000184
HBM	NM_001003938
HBP1	NM_012257
HBQ1	NM_005331
HBS1L	NM_006620
HBZ	NM_005332
HCAR1	NM_032554
HCAR2	NM_177551
HCAR3	NM_006018
HCCS	NM_005333
HCFC1	NM_005334
HCFC1R1	NM_017885
HCFC2	NM_013320
HCLS1	NM_005335
HCN1	NM_021072
HCN2	NM_001194
HCN3	NM_020897
HCN4	NM_005477
HCRT	NM_001524
HCST	NM_014266
HDAC1	NM_004964
HDAC10	NM_032019
HDAC11	NM_024827
HDAC2	NM_001527
HDAC3	NM_003883
HDAC4	NM_001378414
HDAC6	NM_006044
HDAC7	NM_015401
HDAC8	NM_018486
HDC	NM_002112
HDDC2	NM_016063
HDDC3	NM_001286451
HDGF	NM_004494
HDGFL1	NM_138574
HDGFL2	NM_001001520
HDGFL3	NM_016073
HDHD2	NM_032124
HDHD5	NM_033070
HDX	NM_001177479
HEATR1	NM_018072
HEATR3	NM_182922
HEATR4	NM_001220484
HEATR5A	NM_015473
HEATR5B	NM_019024
HEATR6	NM_022070
HEATR9	NM_152781
HEBP1	NM_015987
HEBP2	NM_014320
HECA	NM_016217
HECTD1	NM_015382
HECTD3	NM_024602
HECW1	NM_015052
HECW2	NM_001348768
HEG1	NM_020733
HELB	NM_001370285
HELLS	NM_018063
HELZ	NM_014877
HEMGN	NM_197978
HEMK1	NM_016173
HENMT1	NM_001102592
HEPACAM	NM_152722
HEPACAM2	NM_001039372
HEPHL1	NM_001098672
HERC1	NM_003922
HERC2	NM_004667
HERC3	NM_014606
HERC5	NM_016323
HERC6	NM_017912
HERPUD1	NM_014685
HERPUD2	NM_022373
HES1	NM_005524
HES2	NM_019089
HES3	NM_001024598
HES4	NM_021170
HES5	NM_001010926
HES6	NM_018645
HES7	NM_001165967
HESX1	NM_003865
HEXA	NM_000520
HEXB	NM_000521
HEXD	NM_001330542
HEXIM1	NM_006460
HEY1	NM_012258
HEY2	NM_012259
HEYL	NM_014571
HFM1	NM_001017975
HGD	NM_000187
HGF	NM_000601
HGFAC	NM_001528
HGH1	NM_016458
HGS	NM_004712
HGSNAT	NM_152419
HHAT	NM_018194
HHATL	NM_020707
HHEX	NM_002729
HHIP	NM_022475
HHIPL2	NM_024746
HHLA3	NM_001031693
HIBADH	NM_152740
HIBCH	NM_014362
HIC1	NM_006497
HIC2	NM_015094
HID1	NM_030630
HIF1A	NM_001530
HIF1AN	NM_017902
HIGD1A	NM_014056
HIGD1B	NM_016438
HIGD2A	NM_138820
HIGD2B	NM_001350932
HIKESHI	NM_016401
HILPDA	NM_013332
HINFP	NM_198971
HINT1	NM_005340
HINT2	NM_032593
HINT3	NM_138571
HIP1	NM_005338
HIP1R	NM_003959
HIPK1	NM_198268
HIPK2	NM_022740
HIPK3	NM_005734
HIPK4	NM_144685
HIRA	NM_003325
HIRIP3	NM_003609
HIVEP1	NM_002114
HIVEP2	NM_006734
HIVEP3	NM_024503
HJURP	NM_018410
HK2	NM_000189
HK3	NM_002115
HKDC1	NM_025130
HLA-A	NM_002116
HLA-B	NM_005514
HLA-DMA	NM_006120
HLA-DMB	NM_002118
HLA-DOA	NM_002119
HLA-DOB	NM_002120
HLA-DPB1	NM_002121
HLA-DQA1	NM_002122
HLA-DQA2	NM_020056
HLA-DQB2	NM_001300790
HLA-DRA	NM_019111
HLA-DRB5	NM_002125
HLA-E	NM_005516
HLA-F	NM_001098479
HLF	NM_002126
HLTF	NM_003071
HLX	NM_021958
HMBOX1	NM_001135726
HMBS	NM_000190
HMCES	NM_020187
HMCN1	NM_031935
HMG20A	NM_001304504
HMG20B	NM_006339
HMGA1	NM_145899
HMGB1	NM_002128
HMGB2	NM_002129
HMGB3	NM_005342
HMGCL	NM_000191
HMGCLL1	NM_001042406
HMGCR	NM_000859
HMGCS1	NM_001098272
HMGCS2	NM_005518
HMGN1	NM_004965
HMGN2	NM_005517
HMGN4	NM_006353
HMGN5	NM_030763
HMGXB3	NM_014983
HMGXB4	NM_001003681
HMMR	NM_001142556
HMOX1	NM_002133
HMOX2	NM_002134
HMSD	NM_001123366
HMX1	NM_018942
HMX3	NM_001105574
HNF1B	NM_000458
HNF4A	NM_000457
HNF4G	NM_004133
HNMT	NM_006895
HNRNPA0	NM_006805
HNRNPA1	NM_031157
HNRNPAB	NM_031266
HNRNPCL1	NM_001013631
HNRNPCL2	NM_001136561
HNRNPCL4	NM_001302551
HNRNPD	NM_031370
HNRNPH2	NM_019597
HNRNPK	NM_031263
HNRNPLL	NM_138394
HNRNPM	NM_005968
HNRNPR	NM_005826
HNRNPU	NM_031844
HNRNPUL1	NM_007040
HNRNPUL2	NM_001079559
HOGA1	NM_138413
HOMER1	NM_004272
HOMER2	NM_004839
HOMER3	NM_004838
HOMEZ	NM_020834
HOOK1	NM_015888
HOOK3	NM_032410
HOPX	NM_032495
HORMAD1	NM_032132
HORMAD2	NM_152510
HOXA1	NM_005522
HOXA10	NM_018951
HOXA2	NM_006735
HOXA4	NM_002141
HOXA5	NM_019102
HOXA6	NM_024014
HOXA7	NM_006896
HOXA9	NM_152739
HOXB1	NM_002144
HOXB4	NM_024015
HOXB6	NM_018952
HOXB7	NM_004502
HOXB8	NM_024016
HOXB9	NM_024017
HOXC10	NM_017409
HOXC11	NM_014212
HOXC12	NM_173860
HOXC13	NM_017410
HOXC4	NM_153633
HOXC6	NM_004503
HOXC8	NM_022658
HOXC9	NM_006897
HOXD1	NM_024501
HOXD11	NM_021192
HOXD12	NM_021193
HOXD13	NM_000523
HOXD4	NM_014621
HOXD8	NM_019558
HOXD9	NM_014213
HP	NM_005143
HP1BP3	NM_001372052
HPCA	NM_002143
HPCAL1	NM_002149
HPCAL4	NM_016257
HPD	NM_002150
HPDL	NM_032756
HPF1	NM_017867
HPGD	NM_000860
HPGDS	NM_014485
HPRT1	NM_000194
HPSE	NM_001098540
HPSE2	NM_021828
HPX	NM_000613
HR	NM_005144
HRC	NM_002152
HRCT1	NM_001039792
HRH3	NM_007232
HRH4	NM_021624
HRK	NM_003806
HRNR	NM_001009931
HS1BP3	NM_022460
HS2ST1	NM_012262
HS3ST1	NM_005114
HS3ST2	NM_006043
HS3ST3A1	NM_006042
HS3ST3B1	NM_006041
HS3ST4	NM_006040
HS3ST6	NM_001009606
HS6ST1	NM_004807
HSBP1	NM_001537
HSBP1L1	NM_001136180
HSCB	NM_172002
HSD11B1	NM_005525
HSD11B2	NM_000196
HSD17B1	NM_000413
HSD17B10	NM_004493
HSD17B11	NM_016245
HSD17B12	NM_016142
HSD17B13	NM_178135
HSD17B14	NM_016246
HSD17B2	NM_002153
HSD17B4	NM_000414
HSD17B6	NM_003725
HSD17B8	NM_014234
HSD3B1	NM_000862
HSD3B2	NM_000198
HSD3B7	NM_025193
HSDL1	NM_031463
HSDL2	NM_032303
HSF1	NM_005526
HSF2	NM_004506
HSF2BP	NM_007031
HSF4	NM_001374675
HSF5	NM_001080439
HSFX1	NM_016153
HSFX4	NM_001351114
HSFY1	NM_033108
HSFY2	NM_153716
HSP90AA1	NM_005348
HSP90AB1	NM_007355
HSP90B1	NM_003299
HSPA12A	NM_025015
HSPA12B	NM_052970
HSPA13	NM_006948
HSPA14	NM_016299
HSPA1A	NM_005345
HSPA1B	NM_005346
HSPA1L	NM_005527
HSPA4	NM_002154
HSPA4L	NM_014278
HSPA5	NM_005347
HSPA6	NM_002155
HSPA8	NM_006597
HSPB2	NM_001541
HSPB3	NM_006308
HSPB6	NM_144617
HSPB9	NM_033194
HSPBAP1	NM_024610
HSPBP1	NM_012267
HSPD1	NM_002156
HSPE1	NM_002157
HSPG2	NM_005529
HSPH1	NM_006644
HTATSF1	NM_014500
HTD2	NM_001348712
HTN1	NM_002159
HTN3	NM_000200
HTR1A	NM_000524
HTR1B	NM_000863
HTR1E	NM_000865
HTR2B	NM_000867
HTR3C	NM_130770
HTR3D	NM_001145143
HTR4	NM_000870
HTR6	NM_000871
HTR7	NM_019859
HTRA1	NM_002775
HTRA2	NM_013247
HTRA3	NM_053044
HTRA4	NM_153692
HUNK	NM_014586
HUS1	NM_004507
HUWE1	NM_031407
HVCN1	NM_032369
HYAL1	NM_033159
HYAL2	NM_003773
HYAL3	NM_003549
HYAL4	NM_012269
HYDIN	NM_001270974
HYKK	NM_001013619
HYLS1	NM_001134793
HYOU1	NM_006389
HYPK	NM_016400
IAH1	NM_001039613
IAPP	NM_000415
IARS1	NM_002161
IARS2	NM_018060
IBA57	NM_001010867
IBSP	NM_004967
IBTK	NM_015525
ICA1	NM_001136020
ICAM1	NM_000201
ICAM2	NM_001099789
ICAM3	NM_002162
ICAM5	NM_003259
ICE1	NM_015325
ICE2	NM_024611
ICMT	NM_012405
ID1	NM_002165
ID2	NM_002166
ID3	NM_002167
ID4	NM_001546
IDE	NM_004969
IDH1	NM_005896
IDH2	NM_002168
IDH3A	NM_005530
IDH3B	NM_006899
IDH3G	NM_004135
IDI2	NM_033261
IDNK	NM_001001551
IDO1	NM_002164
IDS	NM_000202
IER2	NM_004907
IER3	NM_003897
IER3IP1	NM_016097
IER5	NM_016545
IER5L	NM_203434
IFFO2	NM_001136265
IFI27L1	NM_206949
IFI27L2	NM_032036
IFI30	NM_006332
IFI35	NM_001330230
IFI44	NM_006417
IFI44L	NM_006820
IFI6	NM_002038
IFIT1	NM_001548
IFIT1B	NM_001010987
IFIT2	NM_001547
IFIT3	NM_001549
IFIT5	NM_012420
IFITM10	NM_001170820
IFITM3	NM_021034
IFITM5	NM_001025295
IFNA1	NM_024013
IFNA10	NM_002171
IFNA14	NM_002172
IFNA16	NM_002173
IFNA17	NM_021268
IFNA2	NM_000605
IFNA21	NM_002175
IFNA7	NM_021057
IFNA8	NM_002170
IFNAR1	NM_000629
IFNAR2	NM_001289125
IFNB1	NM_002176
IFNG	NM_000619
IFNL1	NM_172140
IFNL2	NM_172138
IFNLR1	NM_170743
IFT122	NM_052989
IFT140	NM_014714
IFT172	NM_015662
IFT20	NM_001267776
IFT22	NM_022777
IFT27	NM_001177701
IFT46	NM_001168618
IFT52	NM_016004
IFT57	NM_018010
IFT80	NM_020800
IFT81	NM_014055
IGBP1	NM_001551
IGDCC3	NM_004884
IGDCC4	NM_020962
IGF1	NM_000618
IGF1R	NM_000875
IGF2	NM_000612
IGF2BP1	NM_006546
IGF2BP2	NM_006548
IGF2BP3	NM_006547
IGFALS	NM_004970
IGFBP1	NM_000596
IGFBP2	NM_000597
IGFBP4	NM_001552
IGFBP5	NM_000599
IGFBP6	NM_002178
IGFBP7	NM_001553
IGFBPL1	NM_001007563
IGFL1	NM_198541
IGFL3	NM_207393
IGFLR1	NM_024660
IGFN1	NM_001164586
IGIP	NM_001007189
IGLL5	NM_001178126
IGSF11	NM_001015887
IGSF21	NM_032880
IGSF22	NM_173588
IGSF23	NM_001205280
IGSF3	NM_001007237
IGSF6	NM_005849
IGSF8	NM_052868
IGSF9	NM_001135050
IGSF9B	NM_001277285
IHH	NM_002181
IK	NM_006083
IKBIP	NM_153687
IKBKE	NM_014002
IKZF3	NM_012481
IKZF4	NM_022465
IL11	NM_000641
IL11RA	NM_001142784
IL12A	NM_000882
IL12RB2	NM_001374259
IL13	NM_002188
IL13RA1	NM_001560
IL13RA2	NM_000640
IL15	NM_000585
IL15RA	NM_002189
IL17B	NM_014443
IL17C	NM_013278
IL17RB	NM_018725
IL17RD	NM_017563
IL17RE	NM_153480
IL18	NM_001562
IL18BP	NM_001039660
IL1A	NM_000575
IL1B	NM_000576
IL1R1	NM_000877
IL1R2	NM_004633
IL1RAP	NM_002182
IL1RAPL1	NM_014271
IL1RAPL2	NM_017416
IL1RL1	NM_016232
IL1RL2	NM_003854
IL2	NM_000586
IL20RB	NM_144717
IL22RA1	NM_021258
IL22RA2	NM_052962
IL23A	NM_016584
IL23R	NM_144701
IL24	NM_006850
IL26	NM_018402
IL27	NM_145659
IL27RA	NM_004843
IL2RB	NM_000878
IL3	NM_000588
IL31	NM_001014336
IL32	NM_001376923
IL36A	NM_014440
IL36B	NM_014438
IL36G	NM_019618
IL36RN	NM_012275
IL3RA	NM_002183
IL4	NM_000589
IL4I1	NM_152899
IL4R	NM_000418
IL5	NM_000879
IL5RA	NM_175726
IL6	NM_000600
IL6R	NM_000565
IL6ST	NM_002184
IL7	NM_000880
IL9	NM_000590
ILDR2	NM_199351
ILF2	NM_004515
ILKAP	NM_030768
ILRUN	NM_024294
ILVBL	NM_006844
IMMP1L	NM_001304274
IMMP2L	NM_032549
IMP4	NM_033416
IMPA1	NM_005536
IMPA2	NM_014214
IMPACT	NM_018439
IMPDH1	NM_000883
IMPDH2	NM_000884
IMPG1	NM_001563
IMPG2	NM_016247
INA	NM_032727
INAFM1	NM_178511
INAFM2	NM_001301268
INAVA	NM_001142569
INCENP	NM_001040694
INF2	NM_022489
ING1	NM_198219
ING2	NM_001564
ING3	NM_019071
ING4	NM_016162
ING5	NM_032329
INHA	NM_002191
INHBA	NM_002192
INHBB	NM_002193
INHBC	NM_005538
INHBE	NM_031479
INIP	NM_021218
INKA1	NM_203370
INKA2	NM_019099
INMT	NM_006774
INO80B	NM_031288
INO80C	NM_194281
INO80D	NM_017759
INO80E	NM_173618
INPP1	NM_001128928
INPP4A	NM_001134225
INPP5A	NM_005539
INPP5B	NM_005540
INPP5D	NM_001017915
INPP5E	NM_019892
INPP5J	NM_001284285
INPP5K	NM_016532
INPPL1	NM_001567
INS	NM_000207
INSC	NM_001042536
INSIG1	NM_005542
INSIG2	NM_016133
INSL3	NM_005543
INSL4	NM_002195
INSL6	NM_007179
INSM1	NM_002196
INSM2	NM_032594
INSR	NM_000208
INSRR	NM_014215
INSYN2A	NM_001039762
INSYN2B	NM_001129891
INTS1	NM_001080453
INTS10	NM_018142
INTS11	NM_017871
INTS12	NM_020395
INTS13	NM_018164
INTS3	NM_023015
INTS4	NM_033547
INTS5	NM_030628
INTS6	NM_012141
INTS7	NM_015434
INTS8	NM_017864
INTS9	NM_018250
INTU	NM_015693
INVS	NM_014425
IP6K1	NM_153273
IP6K2	NM_016291
IP6K3	NM_054111
IPMK	NM_152230
IPO11	NM_016338
IPO13	NM_014652
IPO4	NM_024658
IPO5	NM_002271
IPO7	NM_006391
IPO8	NM_006390
IPO9	NM_018085
IPP	NM_005897
IPPK	NM_022755
IQCA1	NM_024726
IQCA1L	NM_001304419
IQCB1	NM_001023570
IQCC	NM_018134
IQCD	NM_001330452
IQCE	NM_152558
IQCF1	NM_152397
IQCF2	NM_203424
IQCF5	NM_001145059
IQCF6	NM_001368369
IQCG	NM_032263
IQCH	NM_001031715
IQCN	NM_001145304
IQGAP1	NM_003870
IQGAP3	NM_178229
IQSEC1	NM_001134382
IQSEC3	NM_001170738
IQUB	NM_178827
IRAK1	NM_001569
IRAK1BP1	NM_001010844
IRAK2	NM_001570
IRAK3	NM_007199
IREB2	NM_004136
IRF1	NM_002198
IRF2	NM_002199
IRF2BP1	NM_015649
IRF2BPL	NM_024496
IRF3	NM_001571
IRF4	NM_002460
IRF5	NM_001098629
IRF6	NM_006147
IRF9	NM_006084
IRGC	NM_019612
IRS2	NM_003749
IRX1	NM_024337
IRX2	NM_033267
IRX3	NM_024336
IRX4	NM_016358
IRX5	NM_005853
IRX6	NM_024335
ISCA1	NM_030940
ISCA2	NM_194279
ISCU	NM_213595
ISG20	NM_002201
ISG20L2	NM_001370150
ISL1	NM_002202
ISL2	NM_145805
ISLR	NM_005545
ISLR2	NM_020851
ISM1	NM_080826
ISM2	NM_199296
ISOC1	NM_016048
ISOC2	NM_001136201
IST1	NM_001270975
ISX	NM_001303508
ISY1	NM_020701
ISYNA1	NM_016368
ITFG1	NM_030790
ITFG2	NM_018463
ITGA1	NM_181501
ITGA10	NM_003637
ITGA11	NM_001004439
ITGA3	NM_002204
ITGA4	NM_000885
ITGA5	NM_002205
ITGA6	NM_001079818
ITGA7	NM_002206
ITGA8	NM_003638
ITGA9	NM_002207
ITGAD	NM_005353
ITGAE	NM_002208
ITGAL	NM_002209
ITGAV	NM_002210
ITGAX	NM_000887
ITGB1	NM_002211
ITGB1BP1	NM_004763
ITGB1BP2	NM_012278
ITGB3BP	NM_014288
ITGB4	NM_000213
ITGB5	NM_002213
ITGB6	NM_000888
ITGB7	NM_000889
ITGB8	NM_002214
ITGBL1	NM_004791
ITIH1	NM_002215
ITIH2	NM_002216
ITIH4	NM_002218
ITIH5	NM_030569
ITIH6	NM_198510
ITLN1	NM_017625
ITLN2	NM_080878
ITM2A	NM_004867
ITM2C	NM_030926
ITPA	NM_033453
ITPK1	NM_014216
ITPKA	NM_002220
ITPKC	NM_025194
ITPR2	NM_002223
ITPR3	NM_002224
ITPRID2	NM_001130445
ITPRIP	NM_001272013
ITSN1	NM_003024
IVD	NM_002225
IVNS1ABP	NM_006469
IWS1	NM_017969
IYD	NM_203395
IZUMO1	NM_182575
IZUMO3	NM_001365008
IZUMO4	NM_001039846
JADE1	NM_199320
JADE3	NM_014735
JAG2	NM_002226
JAKMIP1	NM_001099433
JAKMIP2	NM_001270941
JAM2	NM_021219
JAM3	NM_032801
JAML	NM_001098526
JARID2	NM_004973
JAZF1	NM_175061
JCAD	NM_020848
JCHAIN	NM_144646
JDP2	NM_001135048
JHY	NM_024806
JKAMP	NM_016475
JMJD1C	NM_032776
JMJD6	NM_015167
JMJD7	NM_001114632
JMJD8	NM_001005920
JMY	NM_152405
JOSD2	NM_001270639
JPH1	NM_020647
JPH3	NM_020655
JPH4	NM_001146028
JPT1	NM_016185
JPT2	NM_144570
JRK	NM_003724
JRKL	NM_001261833
JSRP1	NM_144616
JTB	NM_006694
JUN	NM_002228
JUNB	NM_002229
JUND	NM_005354
JUP	NM_002230
KAAG1	NM_181337
KANK1	NM_015158
KANK3	NM_198471
KANK4	NM_181712
KANSL1L	NM_152519
KANSL2	NM_017822
KANSL3	NM_001115016
KASH5	NM_144688
KAT2A	NM_021078
KAT2B	NM_003884
KAT5	NM_182710
KAT6A	NM_006766
KAT6B	NM_012330
KAT7	NM_007067
KAT8	NM_032188
KATNA1	NM_007044
KATNAL1	NM_032116
KATNB1	NM_005886
KATNBL1	NM_024713
KAZALD1	NM_030929
KAZN	NM_201628
KBTBD11	NM_014867
KBTBD12	NM_207335
KBTBD2	NM_015483
KBTBD3	NM_198439
KBTBD4	NM_018095
KBTBD6	NM_152903
KBTBD7	NM_032138
KBTBD8	NM_032505
KCMF1	NM_020122
KCNA10	NM_005549
KCNA2	NM_004974
KCNA3	NM_002232
KCNA4	NM_002233
KCNA5	NM_002234
KCNB1	NM_004975
KCNB2	NM_004770
KCNC1	NM_001112741
KCNC2	NM_139137
KCNC4	NM_001039574
KCND1	NM_004979
KCND2	NM_012281
KCNE1	NM_000219
KCNF1	NM_002236
KCNG1	NM_002237
KCNG3	NM_133329
KCNH1	NM_172362
KCNH2	NM_000238
KCNH3	NM_012284
KCNH4	NM_012285
KCNH5	NM_139318
KCNH6	NM_001278919
KCNH7	NM_033272
KCNH8	NM_144633
KCNIP1	NM_014592
KCNIP2	NM_173191
KCNIP3	NM_013434
KCNIP4	NM_025221
KCNJ10	NM_002241
KCNJ12	NM_021012
KCNJ13	NM_002242
KCNJ14	NM_013348
KCNJ15	NM_170736
KCNJ18	NM_001194958
KCNJ3	NM_002239
KCNJ4	NM_152868
KCNJ6	NM_002240
KCNJ8	NM_004982
KCNJ9	NM_004983
KCNK1	NM_002245
KCNK10	NM_138317
KCNK12	NM_022055
KCNK13	NM_022054
KCNK15	NM_022358
KCNK16	NM_001135106
KCNK17	NM_031460
KCNK18	NM_181840
KCNK2	NM_001017425
KCNK3	NM_002246
KCNK4	NM_033310
KCNK5	NM_003740
KCNK6	NM_004823
KCNK7	NM_033347
KCNMA1	NM_001161352
KCNMB1	NM_004137
KCNMB2	NM_181361
KCNMB4	NM_014505
KCNN2	NM_021614
KCNN3	NM_002249
KCNQ1	NM_000218
KCNQ3	NM_004519
KCNRG	NM_173605
KCNS1	NM_001322799
KCNS2	NM_020697
KCNS3	NM_002252
KCNT1	NM_020822
KCNU1	NM_001031836
KCNV1	NM_014379
KCNV2	NM_133497
KCTD1	NM_001142730
KCTD10	NM_031954
KCTD12	NM_138444
KCTD13	NM_178863
KCTD14	NM_023930
KCTD16	NM_020768
KCTD18	NM_152387
KCTD19	NM_001100915
KCTD2	NM_015353
KCTD20	NM_173562
KCTD21	NM_001029859
KCTD3	NM_016121
KCTD5	NM_018992
KCTD6	NM_001128214
KCTD8	NM_198353
KCTD9	NM_017634
KDELR1	NM_006801
KDELR2	NM_006854
KDELR3	NM_006855
KDF1	NM_152365
KDM1A	NM_001009999
KDM1B	NM_001364614
KDM2A	NM_012308
KDM2B	NM_032590
KDM3A	NM_018433
KDM3B	NM_016604
KDM4A	NM_014663
KDM4B	NM_015015
KDM4C	NM_015061
KDM4D	NM_018039
KDM4E	NM_001161630
KDM5A	NM_001042603
KDM5B	NM_006618
KDM5C	NM_004187
KDM5D	NM_004653
KDM7A	NM_030647
KDM8	NM_024773
KEAP1	NM_203500
KHDC1L	NM_001126063
KHDC3L	NM_001017361
KHDC4	NM_014949
KHDRBS1	NM_006559
KHDRBS2	NM_152688
KHDRBS3	NM_006558
KHK	NM_006488
KHNYN	NM_015299
KIAA0040	NM_014656
KIAA0100	NM_014680
KIAA0232	NM_014743
KIAA0319	NM_014809
KIAA0319L	NM_024874
KIAA0355	NM_014686
KIAA0408	NM_014702
KIAA0586	NM_001329943
KIAA0753	NM_014804
KIAA0895	NM_001199706
KIAA0895L	NM_001040715
KIAA1143	NM_020696
KIAA1191	NM_020444
KIAA1217	NM_019590
KIAA1324	NM_020775
KIAA1324L	NM_001142749
KIAA1328	NM_020776
KIAA1522	NM_020888
KIAA1549	NM_001164665
KIAA1586	NM_020931
KIAA1614	NM_020950
KIAA1755	NM_001029864
KIAA1841	NM_001129993
KIAA1958	NM_133465
KIAA2012	NM_001277372
KIAA2013	NM_138346
KIAA2026	NM_001017969
KIDINS220	NM_020738
KIF11	NM_004523
KIF13A	NM_022113
KIF13B	NM_015254
KIF14	NM_014875
KIF15	NM_020242
KIF16B	NM_024704
KIF18A	NM_031217
KIF18B	NM_001265577
KIF19	NM_153209
KIF1C	NM_006612
KIF20A	NM_005733
KIF21A	NM_001173464
KIF22	NM_007317
KIF26B	NM_018012
KIF27	NM_017576
KIF2A	NM_001098511
KIF2B	NM_032559
KIF2C	NM_006845
KIF3B	NM_004798
KIF3C	NM_002254
KIF4A	NM_012310
KIF4B	NM_001099293
KIF5A	NM_004984
KIF5B	NM_004521
KIF5C	NM_004522
KIF6	NM_145027
KIF7	NM_198525
KIFAP3	NM_014970
KIFBP	NM_015634
KIFC1	NM_002263
KIFC2	NM_001369769
KIFC3	NM_001130100
KIN	NM_012311
KIR2DL1	NM_014218
KIR2DL3	NM_015868
KIR3DL2	NM_006737
KIRREL1	NM_018240
KIRREL2	NM_199180
KIRREL3	NM_032531
KISS1	NM_002256
KISS1R	NM_032551
KIZ	NM_018474
KL	NM_004795
KLB	NM_175737
KLC2	NM_001318734
KLC3	NM_177417
KLC4	NM_201521
KLF11	NM_003597
KLF13	NM_015995
KLF15	NM_014079
KLF16	NM_031918
KLF17	NM_173484
KLF18	NM_001358438
KLF2	NM_016270
KLF3	NM_016531
KLF4	NM_004235
KLF5	NM_001730
KLF6	NM_001300
KLF7	NM_003709
KLF8	NM_007250
KLHDC1	NM_172193
KLHDC10	NM_014997
KLHDC2	NM_014315
KLHDC3	NM_057161
KLHDC4	NM_017566
KLHDC7B	NM_138433
KLHDC8A	NM_018203
KLHDC8B	NM_173546
KLHDC9	NM_152366
KLHL1	NM_020866
KLHL10	NM_152467
KLHL11	NM_018143
KLHL12	NM_021633
KLHL14	NM_020805
KLHL15	NM_030624
KLHL17	NM_198317
KLHL18	NM_025010
KLHL2	NM_007246
KLHL20	NM_014458
KLHL21	NM_014851
KLHL22	NM_032775
KLHL23	NM_144711
KLHL24	NM_017644
KLHL25	NM_022480
KLHL26	NM_018316
KLHL28	NM_017658
KLHL29	NM_052920
KLHL3	NM_017415
KLHL30	NM_198582
KLHL31	NM_001003760
KLHL32	NM_052904
KLHL33	NM_001365790
KLHL34	NM_153270
KLHL36	NM_024731
KLHL4	NM_019117
KLHL40	NM_152393
KLHL41	NM_006063
KLHL42	NM_020782
KLHL6	NM_130446
KLHL7	NM_001031710
KLHL8	NM_020803
KLHL9	NM_018847
KLK1	NM_002257
KLK10	NM_145888
KLK11	NM_001136032
KLK13	NM_015596
KLK2	NM_005551
KLK3	NM_001648
KLK5	NM_012427
KLK6	NM_002774
KLK7	NM_005046
KLK9	NM_012315
